id,name,background_hex,prompt,negative_prompt
annualGoal2025,Munro Challenge 2025,#1E3F20,"A flat vector-style minimalist illustration of a bold blocky ""2025"" typographic treatment overlaid on a minimalist mountain silhouette with a small white snowcap on a solid #1E3F20 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
annualGoal2026,Munro Challenge 2026,#1E3F20,"A flat vector-style minimalist illustration of a bold blocky ""2026"" typographic treatment overlaid on a minimalist mountain silhouette rendered in a fresh dawn orange and green line-art colorway on a solid #1E3F20 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteAngus,Angus Complete,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows three smooth gently rounded hill silhouettes with broad grassy slopes, representing the rolling Angus glens. The word ""ANGUS"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape, stars"
areaCompleteArgyll,Argyll Wrapped Up,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: top half shows a single tall pointed mountain peak above a calm loch with a mirror reflection. The word ""ARGYLL"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A purple-brown background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, 3D render, bevel, emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape, waves, ocean"
areaCompleteCairngorms,Master of the Cairngorms,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows a vast broad elevated plateau with a small stone cairn silhouette on the flat top, representing the high Cairngorm tableland. The word ""CAIRNGORMS"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteFortWilliam,Fort William Finished,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows the massive broad profile of Ben Nevis — a wide imposing mountain with a flat summit plateau and steep flanks, reflected in a calm loch below. The words ""FORT WILLIAM"" in a clean bold sans-serif font appear centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, crosshair, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteIslands,Island Munroist,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows a small ferry boat silhouette on calm flat water with the dramatic jagged Cuillin ridge of Skye rising behind it. The word ""ISLANDS"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, Skye, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteKintail,Kintail Conquered,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows five smooth mountain peaks in an elegant connected ridge line — the Five Sisters of Kintail — with snow caps on each summit, arranged side by side across the image. The word ""KINTAIL"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteLochLomond,Loch Lomond Complete,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows the symmetrical conical peak of Ben Lomond with a mirror reflection in the calm loch below. The words ""LOCH LOMOND"" in a clean bold sans-serif font appear centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, ripples, waves, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteLochNess,Ness-side Navigator,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows a long dark loch stretching into the distance between low mountain ridges, with a small playful triple-humped Nessie silhouette on the loch surface. The words ""LOCH NESS"" in a clean bold sans-serif font appear centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompletePerthshire,Perthshire Finished,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows layered forest foothills at the base transitioning into broad rolling slopes rising to a rounded summit, with a calm loch in the middle ground — representing the green highland landscape of Perthshire. The word ""PERTHSHIRE"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteSutherland,Sutherland Signed Off,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows two completely isolated dramatic rocky peaks standing alone against a vast empty flat horizon — representing the remote inselberg mountains of Sutherland such as Suilven and Stac Pollaidh. The word ""SUTHERLAND"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteTorridon,Torridon Complete,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows a massive ancient mountain with clear horizontal sandstone layer bands stacked across its flanks — representing the primordial geology of Liathach and Beinn Eighe in Torridon. The word ""TORRIDON"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
areaCompleteUllapool,Ullapool Wrapped,#7B3F7A,"A flat vector-style minimalist illustration occupying the full 1024x1024 canvas: upper portion shows wild remote mountain peaks with a simple compass needle pointing north-west overlaid on the scene, suggesting the extreme remoteness of the northwest Highlands. The word ""ULLAPOOL"" in a clean bold sans-serif font appears centred horizontally at roughly 75% of the image height — well clear of the bottom edge, leaving at least 150px margin below the text. No other text. On a solid #7B3F7A background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","Scotland, country name, subtitle, second line of text, text at very bottom, compass rose, glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
highestMunros10,Roof of Scotland,#4A5568,"A flat vector-style minimalist illustration of a tall cloud-piercing mountain peak with a matte gold crown centered above the summit rendered in dark slate grey tones on a solid #4A5568 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
lowestMunros10,Ground Level,#4A5568,"A flat vector-style minimalist illustration of a mountain silhouette with a bold horizontal leveling line drawn low across it near the base with a small spirit-level bubble graphic integrated into the line on a solid #4A5568 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
multiMunroDay2,Double Day,#4A5568,"Flat vector icon on a solid slate blue-grey (#4A5568) background. Mountains: exactly two smooth rounded peaks drawn as clean outline/line-art silhouettes with white snow caps — one taller peak on the left, one slightly shorter peak on the right. Count: two peaks total, no more. Mountains occupy the upper 60% of the image. Below the mountains in the lower 30%, the text ""2 IN A DAY"" in a clean bold sans-serif font, centred, cream-white — positioned well above the bottom edge with at least 80px clear margin below it. No filled silhouettes — outline style mountains only. No badge frame, no border.","three mountains, four mountains, five mountains, filled solid mountains, drop shadow, 3D, bevel, glossy, gradient, frame, hexagon, text at bottom edge, text clipped"
multiMunroDay3,Triple Stack,#4A5568,"Flat vector icon on a solid slate blue-grey (#4A5568) background. Mountains: exactly three smooth rounded peaks drawn as clean outline/line-art silhouettes with white snow caps — one tallest peak in the centre, one medium peak to the left, one medium peak to the right. Count: three peaks total, no more. Mountains occupy the upper 60% of the image. Below the mountains in the lower 30%, the text ""3 IN A DAY"" in a clean bold sans-serif font, centred, cream-white — positioned well above the bottom edge with at least 80px clear margin below it. No filled silhouettes — outline style mountains only. No badge frame, no border.","four mountains, five mountains, two mountains, filled solid mountains, drop shadow, 3D, bevel, glossy, gradient, frame, hexagon, text at bottom edge, text clipped"
multiMunroDay4,Four on the Floor,#4A5568,"Flat vector icon on a solid slate blue-grey (#4A5568) background. Mountains: exactly four smooth rounded peaks drawn as clean outline/line-art silhouettes with white snow caps — two taller peaks in the centre foreground, one shorter peak to the left, one shorter peak to the right. Count: four peaks total, no more. Mountains occupy the upper 60% of the image. Below the mountains in the lower 30%, the text ""4 IN A DAY"" in a clean bold sans-serif font, centred, cream-white — positioned well above the bottom edge with at least 80px clear margin below it. No filled silhouettes — outline style mountains only. No badge frame, no border.","five mountains, six mountains, three mountains, filled solid mountains, drop shadow, 3D, bevel, glossy, gradient, frame, hexagon, text at bottom edge, text clipped"
multiMunroDay5,Five-Bagger,#4A5568,"Flat vector icon on a solid slate blue-grey (#4A5568) background. Mountains: exactly five smooth rounded peaks drawn as clean outline/line-art silhouettes with white snow caps — two taller peaks in the centre foreground, two medium peaks flanking them, one smaller peak behind in the middle. Count: five peaks total, no more. Mountains occupy the upper 60% of the image. Below the mountains in the lower 30%, the text ""5 IN A DAY"" in a clean bold sans-serif font, centred, cream-white — positioned well above the bottom edge with at least 80px clear margin below it. No filled silhouettes — outline style mountains only. No badge frame, no border.","six mountains, four mountains, filled solid mountains, drop shadow, 3D, bevel, glossy, gradient, frame, hexagon, text at bottom edge, text clipped"
multiMunroDay6,Six and Counting,#4A5568,"Flat vector icon on a solid slate blue-grey (#4A5568) background. Mountains: exactly six smooth rounded peaks drawn as clean outline/line-art silhouettes with white snow caps — three peaks in the foreground row, three smaller peaks visible behind them. Count: six peaks total, no more. Mountains occupy the upper 60% of the image. Below the mountains in the lower 30%, the text ""6 IN A DAY"" in a clean bold sans-serif font, centred, cream-white — positioned well above the bottom edge with at least 80px clear margin below it. No filled silhouettes — outline style mountains only. No badge frame, no border.","seven mountains, five mountains, filled solid mountains, drop shadow, 3D, bevel, glossy, gradient, frame, hexagon, text at bottom edge, text clipped"
multiMunroDay7,Seven Summits,#C9A227,"Flat vector icon on a solid gold (#C9A227) background. Mountains: exactly seven smooth rounded peaks drawn as clean outline/line-art silhouettes with white snow caps — four peaks in the foreground row, three smaller peaks visible behind them. Count: seven peaks total, no more. Mountains occupy the upper 60% of the image. Below the mountains in the lower 30%, the text ""7 IN A DAY"" in a clean bold sans-serif font, centred, deep brown — positioned well above the bottom edge with at least 80px clear margin below it. No filled silhouettes — outline style mountains only. No badge frame, no border.","eight mountains, six mountains, filled solid mountains, drop shadow, 3D, bevel, glossy, gradient, frame, hexagon, text at bottom edge, text clipped"
munroEveryMonth,All-Season Munroist,#1E3F20,"A flat vector-style minimalist illustration of a circular calendar wheel divided into twelve segments representing each month with a small mountain peak silhouette centered in the middle on a solid #1E3F20 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
munrosCompletedAllTime001,First Foot on the Hill,#1E3F20,"A flat vector-style minimalist illustration of the bold number ""1"" centered in the image, rendered in light silver-grey, large and commanding, clean bold rounded typeface, on a solid #1E3F20 dark green background. No border, no frame, no badge shape. Solid flat colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, long shadow, flat shadow, diagonal shadow, any shadow, border, frame, hexagon, badge shape, serif, outline, stroke"
munrosCompletedAllTime005,Finding Your Stride,#1E3F20,"A flat vector-style minimalist illustration of the bold number ""5"" centered in the image, rendered in muted silver-white, clean sans-serif, on a solid #1E3F20 background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
munrosCompletedAllTime010,Well Underway,#1E3F20,"A flat vector-style minimalist illustration of the bold number ""10"" centered in the image, rendered in muted silver-white, clean sans-serif, on a solid #1E3F20 background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
munrosCompletedAllTime025,Quarter Century,#1E3F20,"A flat vector-style minimalist illustration of the bold number ""25"" centered in the image, rendered in muted silver-white, clean sans-serif, on a solid #1E3F20 background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
munrosCompletedAllTime050,Half a Hundred,#4A5568,"A flat vector-style minimalist illustration of the bold number ""50"" centered in the image, rendered in muted silver-white, clean sans-serif, on a solid #4A5568 background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
munrosCompletedAllTime082,Only 200 Left,#4A5568,"A flat vector-style minimalist illustration of the bold number ""82"" centered in the image, rendered in muted silver-white, clean sans-serif, on a solid #4A5568 background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
munrosCompletedAllTime100,Century Club,#4A5568,"A flat vector-style minimalist illustration of the bold number ""100"" centered in the image, rendered in muted silver-white, clean sans-serif, on a solid #4A5568 background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
munrosCompletedAllTime182,Over the Hump,#4A5568,"A flat vector-style minimalist illustration of the bold number ""182"" centered in the image, rendered in muted silver-white, clean sans-serif, on a solid #4A5568 background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
munrosCompletedAllTime200,Double Century,#4A5568,"A flat vector-style minimalist illustration of the bold number ""200"" centered in the image, rendered in muted silver-white, clean sans-serif, on a solid #4A5568 background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
munrosCompletedAllTime282,Munroist Complete,#C9A227,"A flat vector-style minimalist illustration of the bold number ""282"" centered in the image, rendered in deep rich gold (#C9A227), extra large and commanding, clean serif or slab-serif typeface, on a solid #1E3F20 background. No border, no frame, no badge shape. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
nameBen,Big Ben,#1E3F20,"A flat vector-style minimalist illustration of the Big Ben clock tower in London, clean geometric silhouette with the clock face detail visible, rendered in muted silver-white outlines on a solid #1E3F20 background. No border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
nameCarn,I Carn-y Do This Anymore,#1E3F20,"A flat vector-style minimalist illustration of a tall precarious leaning cairn of stacked stones looking as though it might topple with a tiny exhausted face subtly suggested in the arrangement of one of the rocks near the top on a solid #1E3F20 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
nameMeall,Meall Deal,#1E3F20,"A flat vector-style minimalist illustration of a perfectly round lumpy dome-shaped hill styled to look like a retro circular price sticker or supermarket deal badge with the hill shape and sticker shape cleverly merged on a solid #1E3F20 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
nameSgurr,This Sgurr Is Tough,#1E3F20,"A flat vector-style minimalist illustration of an extremely sharp needle-like rocky spire cutting vertically upward through the image nearly reaching the top edge capturing the Sgurr meaning of rocky pointed peak on a solid #1E3F20 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"
nameStob,Stob Messing Around,#1E3F20,"A flat vector-style minimalist illustration of a flat-topped or sharply truncated stump-like mountain peak with a bold red octagonal stop-sign shape used as a background geometry element behind the peak on a solid #1E3F20 background. Clean white outlines, no border, no frame, no badge shape. Illustration centred in a 1024x1024 image. Solid muted colours, no gradients, no shadows, no gloss.","glossy, shiny, chrome, polished, reflective, specular highlights, 3D render, bevel and emboss, plastic, glass, gradient, drop shadow, border, frame, hexagon, badge shape"